author,popularity,weighted_popularity,raw_popularity,volatility,vote_count,date,idVotacao
SENADO FEDERAL - CHICO SARTORI,0.5,0.5,0.5,0.0,0,2003-06-04,115155-58
Antônio Carlos Magalhães Neto,0.5,0.5,0.5,0.0,0,2003-10-15,125572-116
Antônio Carlos Magalhães Neto,0.5,0.5,0.5,0.0,0,2004-12-14,125572-186
Antônio Carlos Magalhães Neto,0.956656346749226,0.9566563467492261,0.9566563467492261,0.20362951891523634,323,2004-12-14,125572-187
Osmar Serraglio,0.5,0.5,0.5,0.0,0,2003-11-18,143282-5
Poder Executivo,0.5,0.5,0.5,0.0,0,2003-11-26,145211-10
Poder Executivo,0.7925531914893617,0.7925531914893617,0.7925531914893617,0.4054782733382751,376,2004-01-21,150930-5
Poder Executivo,0.7890295445029984,0.7888391989140581,0.7894736842105263,0.4076824574955175,760,2004-01-21,151030-5
Poder Executivo,0.7726249858487924,0.7702893227939205,0.7780748663101604,0.4155410554043804,1122,2004-05-12,252929-5
Poder Executivo,0.8593659780593232,0.8761949470719979,0.8200983836964161,0.3756411900120977,1423,2004-06-01,126541-68
Poder Executivo,0.8393434909026457,0.8512289726936733,0.8116107000569152,0.38683087653138853,1757,2004-06-01,140174-83
Poder Executivo,0.6174634200430837,0.5859754326831215,0.6909353905496625,0.4921529567847503,2074,2004-08-11,140174-133
Poder Executivo,0.5368435148994538,0.4908221617073579,0.6442266723476778,0.4995318091188315,2347,2004-08-11,126541-98
Poder Executivo,0.5634667539696552,0.5393859088982128,0.6196553924696873,0.0,1567,2005-03-02,140375-132
Poder Executivo,0.7368631948416955,0.7656975131074292,0.669583118888317,0.327678570877903,1943,2005-03-02,140375-143
Poder Executivo,0.8142425580587337,0.8298025359151203,0.7779359430604982,0.34353973299945234,1405,2005-07-06,279543-44
Poder Executivo,0.6530360945507576,0.6415118517369751,0.6799259944495837,0.38595211425014947,1081,2005-11-29,301190-6
Poder Executivo,0.8137952802370658,0.8366870238921033,0.7603812117086454,0.12338875467614237,1469,2006-01-25,307925-77
Poder Executivo,0.767635617226079,0.772640074941771,0.7559585492227979,0.3543370778914329,1930,2006-01-26,307925-88
Poder Executivo,0.6772840839169297,0.6638381161707532,0.7086580086580087,0.441901282731217,2310,2006-02-01,307925-109
Poder Executivo,0.606464290601919,0.5829726170790036,0.6612781954887218,0.47743509520009103,2660,2006-02-07,275322-252
Poder Executivo,0.5823321981676464,0.5651174259537806,0.6225,0.0,2000,2006-11-28,126541-150
Poder Executivo,0.33009051992332245,0.27779246734953217,0.4521193092621664,0.05773470401883635,1911,2006-12-13,285867-88
Poder Executivo,0.4265307324777894,0.4328967692368763,0.4116766467065868,0.4921371610262803,668,2007-02-12,335937-47
Poder Executivo,0.29477468284411135,0.2876312100331655,0.31144278606965176,0.46308333707317184,1005,2007-02-12,335937-79
Poder Executivo,0.21150951583108346,0.20133447636674395,0.23525127458120904,0.42415576430024576,1373,2007-02-13,307925-175
Poder Executivo,0.39235743117210353,0.41318918738871935,0.34375,0.47495887979908324,1824,2007-05-23,350571-30
Poder Executivo,0.3616815448371494,0.3738940734840473,0.3331856446610545,0.4531505050888818,2257,2007-10-17,371091-7
Poder Executivo,0.6426687427550463,0.6999351848077432,0.5090470446320868,0.4330127018922193,829,2008-03-11,366816-167
Poder Executivo,0.6558401597914769,0.6552667063499175,0.6571782178217822,0.4953597481076199,808,2008-05-27,377706-66
Poder Executivo,0.8120514198346961,0.8381153491166404,0.7512355848434926,0.4319488013398298,1214,2008-08-20,332542-64
Poder Executivo,0.8911663623892484,0.9247582085012747,0.8127853881278538,0.19485569264555339,1095,2008-10-29,403395-85
Poder Executivo,0.6290854170936258,0.6267974968844116,0.6344238975817923,0.4730381865844131,1406,2008-10-29,403395-93
Poder Executivo,0.4900125139508079,0.47636106740994216,0.521865889212828,0.49994684042910226,1715,2008-10-29,403395-126
Poder Executivo,0.40660556828226924,0.38905690573790713,0.44755244755244755,0.4929533910681564,2002,2008-11-04,403395-164
Poder Executivo,0.4565246548362862,0.44501979385745294,0.48336933045356373,0.39047635239421563,2315,2009-02-18,406183-14
Poder Executivo,0.5177770756362131,0.5496768218659717,0.44334433443344334,0.23598002323246875,1818,2009-06-30,438942-12
Poder Executivo,0.7294080968783836,0.8177497952213143,0.5232774674115456,0.21295885499998,2148,2009-06-30,345552-78
Poder Executivo,0.4978051737204693,0.5141317147313255,0.459709911361805,0.47799472911919455,2482,2009-06-30,345552-88
Poder Executivo,0.6110027916116861,0.6487249417447204,0.522984441301273,0.4426385671421619,2828,2009-06-30,345552-93
Poder Executivo,0.5162516813050056,0.5475522070815136,0.4432171211598205,0.4969314170668535,2897,2009-09-16,443247-5
Poder Executivo,0.6123329018984464,0.6630218083941891,0.49405878674171355,0.48196669142569754,3198,2009-10-14,445427-89
Poder Executivo,0.5991992129543889,0.6400153684941429,0.5039615166949633,0.4835508095182234,3534,2009-10-28,434938-122
Poder Executivo,0.6458019792714476,0.6941204356750035,0.5330589143298173,0.4747568632471863,3887,2009-10-28,434938-133
Poder Executivo,0.7168149017404898,0.7231943706073151,0.7019294743845642,0.4689804291579621,3006,2009-11-11,458747-7
Poder Executivo,0.7240158628814493,0.7302877439125764,0.7093814738088192,0.46448070335980574,3379,2009-11-11,458748-9
Poder Executivo,0.7305929856579567,0.736732836654224,0.7162666666666667,0.46030297906576123,3750,2009-11-11,458749-9
Poder Executivo,0.7370983314868038,0.7431106986796648,0.7230694747034616,0.45616654434080584,4131,2009-11-17,447935-79
