voting_session_id,session_date,legislatura,total_deputies,not_found_orientation,PP_orientation,PL_orientation,PCdoB_orientation,PDT_orientation,PT_orientation,PSD_orientation,REPUBLIC_orientation,PSOL_orientation,UNIÃO_orientation,PSDB_orientation,MDB_orientation,PODE_orientation,yes_deputies,no_deputies,other_deputies,yes_orientation_percentage,no_orientation_percentage,other_orientation_percentage,CIDADANIA_orientation,PSB_orientation,SOLIDARI_orientation,AVANTE_orientation,PRD_orientation,PV_orientation,NOVO_orientation,REDE_orientation,S.PART._orientation
441559-56,2009-08-26,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447062-4,2009-08-26,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
441559-54,2009-08-26,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
441559-58,2009-08-26,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
42827-104,2009-08-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
42827-102,2009-08-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
448275-5,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
448274-5,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447714-34,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447714-36,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447714-38,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447719-33,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447719-36,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447719-38,2009-09-09,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-128,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-138,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-129,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-130,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-131,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-136,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
427184-102,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
427184-104,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334764-122,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334764-124,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
334294-143,2009-09-15,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443247-5,2009-09-16,53,702,other,yes,other,other,yes,yes,other,other,yes,other,yes,other,other,30,0,672,4.273504273504273,0.0,95.72649572649573,other,other,other,other,other,other,other,other,other
446738-5,2009-09-16,53,702,other,yes,other,other,yes,yes,other,other,no,other,yes,other,other,26,4,672,3.7037037037037033,0.5698005698005698,95.72649572649573,other,other,other,other,other,other,other,other,other
439137-14,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
407381-65,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
407381-67,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-140,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-144,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-145,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-148,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-149,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-152,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-153,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-157,2009-09-16,53,702,other,no,other,other,no,no,other,other,no,other,yes,other,other,3,27,672,0.4273504273504274,3.8461538461538463,95.72649572649573,other,other,other,other,other,other,other,other,other
440269-159,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
440269-161,2009-09-16,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443188-120,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443188-124,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
454315-3,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447690-36,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
429836-64,2009-10-07,53,702,other,yes,other,other,yes,yes,other,other,yes,other,yes,other,other,30,0,672,4.273504273504273,0.0,95.72649572649573,other,other,other,other,other,other,other,other,other
429836-66,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443188-121,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447690-31,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447690-34,2009-10-07,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-56,2009-10-13,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-117,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-62,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-89,2009-10-14,53,702,other,other,other,other,other,no,other,other,yes,other,yes,other,other,7,14,681,0.9971509971509971,1.9943019943019942,97.00854700854701,other,other,other,other,other,other,other,other,other
445427-90,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-91,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-95,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-97,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-105,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-111,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-114,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
445427-118,2009-10-14,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-76,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-152,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
453977-5,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-65,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
399065-24,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
362170-129,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-58,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-65,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-66,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-67,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-68,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-71,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
408512-74,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-121,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-133,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-134,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-135,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-136,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-137,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-141,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-144,2009-10-21,53,702,other,yes,other,other,yes,yes,other,other,no,other,other,other,other,23,4,675,3.276353276353276,0.5698005698005698,96.15384615384616,other,other,other,other,other,other,other,other,other
339409-149,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339409-150,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-66,2009-10-21,53,702,other,yes,other,other,other,yes,other,other,no,other,yes,other,other,24,4,674,3.418803418803419,0.5698005698005698,96.01139601139602,other,other,other,other,other,other,other,other,other
362170-113,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-93,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
362170-126,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
362170-127,2009-10-21,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-124,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-110,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-113,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-117,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-118,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
443164-121,2009-10-22,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
455719-5,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
439736-22,2009-10-27,53,702,other,yes,other,other,yes,yes,other,other,yes,other,yes,other,other,30,0,672,4.273504273504273,0.0,95.72649572649573,other,other,other,other,other,other,other,other,other
339977-84,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
453978-7,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
372277-69,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-71,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-80,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-81,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
339977-82,2009-10-27,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-137,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
372277-87,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447710-55,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-94,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-101,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-113,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-114,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-122,2009-10-28,53,702,other,yes,other,other,yes,yes,other,other,yes,other,no,other,other,27,3,672,3.8461538461538463,0.4273504273504274,95.72649572649573,other,other,other,other,other,other,other,other,other
434938-125,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
434938-133,2009-10-28,53,702,other,yes,other,other,other,yes,other,other,no,other,no,other,other,21,7,674,2.9914529914529915,0.9971509971509971,96.01139601139602,other,other,other,other,other,other,other,other,other
434938-135,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
372277-83,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
372277-84,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
372277-85,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
436599-43,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447710-51,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447710-52,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447710-53,2009-10-28,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
437378-16,2009-11-11,53,702,other,yes,other,other,yes,yes,other,other,yes,other,no,other,other,27,3,672,3.8461538461538463,0.4273504273504274,95.72649572649573,other,other,other,other,other,other,other,other,other
378478-126,2009-11-11,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
458747-7,2009-11-11,53,702,other,yes,other,other,yes,yes,other,other,yes,other,no,other,other,27,3,672,3.8461538461538463,0.4273504273504274,95.72649572649573,other,other,other,other,other,other,other,other,other
447936-34,2009-11-11,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
458748-9,2009-11-11,53,702,other,yes,other,other,yes,yes,other,other,yes,other,no,other,other,27,3,672,3.8461538461538463,0.4273504273504274,95.72649572649573,other,other,other,other,other,other,other,other,other
458749-9,2009-11-11,53,702,other,yes,other,other,yes,yes,other,other,yes,other,no,other,other,27,3,672,3.8461538461538463,0.4273504273504274,95.72649572649573,other,other,other,other,other,other,other,other,other
438409-101,2009-11-11,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
448884-15,2009-11-12,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
453359-36,2009-11-12,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
457264-5,2009-11-12,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
453359-34,2009-11-12,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-135,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
438409-105,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447937-71,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-79,2009-11-17,53,702,other,no,other,other,no,no,other,other,no,other,no,other,other,0,30,672,0.0,4.273504273504273,95.72649572649573,other,other,other,other,other,other,other,other,other
378478-138,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
438409-108,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447937-74,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-83,2009-11-17,53,702,other,no,other,other,no,no,other,other,yes,other,no,other,other,4,26,672,0.5698005698005698,3.7037037037037033,95.72649572649573,other,other,other,other,other,other,other,other,other
447935-86,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-89,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-92,2009-11-17,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-121,2009-11-18,53,702,other,yes,other,other,yes,yes,other,other,no,other,no,other,other,23,7,672,3.276353276353276,0.9971509971509971,95.72649572649573,other,other,other,other,other,other,other,other,other
447935-144,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-106,2009-11-18,53,702,other,no,other,other,no,no,other,other,no,other,no,other,other,0,30,672,0.0,4.273504273504273,95.72649572649573,other,other,other,other,other,other,other,other,other
447935-108,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-110,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-111,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-112,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-113,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-116,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-118,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-126,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-127,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-130,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-133,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-136,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-139,2009-11-18,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447935-142,2009-11-18,53,702,other,yes,other,other,yes,yes,other,other,no,other,no,other,other,23,7,672,3.276353276353276,0.9971509971509971,95.72649572649573,other,other,other,other,other,other,other,other,other
378478-146,2009-11-25,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
447937-82,2009-11-25,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-161,2009-12-08,53,702,other,no,other,other,no,no,other,other,other,other,other,other,other,0,23,679,0.0,3.276353276353276,96.72364672364672,other,other,other,other,other,other,other,other,other
378478-164,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-196,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-198,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-167,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-172,2009-12-08,53,702,other,yes,other,other,yes,yes,other,other,other,other,other,other,other,23,0,679,3.276353276353276,0.0,96.72364672364672,other,other,other,other,other,other,other,other,other
378478-185,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-193,2009-12-08,53,702,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,702,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
378478-213,2009-12-09,53,702,other,other,other,other,no,no,other,other,other,other,other,other,other,0,16,686,0.0,2.2792022792022792,97.72079772079772,other,other,other,other,other,other,other,other,other
