voting_session_id,session_date,legislatura,total_deputies,not_found_orientation,PP_orientation,PL_orientation,PCdoB_orientation,PDT_orientation,PT_orientation,PSD_orientation,REPUBLIC_orientation,PSOL_orientation,UNIÃO_orientation,PSDB_orientation,MDB_orientation,PODE_orientation,yes_deputies,no_deputies,other_deputies,yes_orientation_percentage,no_orientation_percentage,other_orientation_percentage,CIDADANIA_orientation,PSB_orientation,SOLIDARI_orientation,AVANTE_orientation,PRD_orientation,PV_orientation,NOVO_orientation,REDE_orientation,S.PART._orientation
106560-58,2003-05-14,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106560-55,2003-05-14,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106560-56,2003-05-14,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106736-58,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
37564-53,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
106736-53,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
55519-39,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115522-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115523-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115525-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
108379-6,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115528-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115530-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115531-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115784-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115782-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115779-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
115203-4,2003-05-15,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
